Scientific Name,Common Name,Family,Taxonomic Group
Grus grus,Common Crane,Gruidae,Birds
Saxicola leucurus,White Tailed Stonechat,Muscicapidae,Birds
Amandava amandava,Red Munia,Estrildidae,Birds
Phalacrocorax niger,Javanese Cormorant,Phalacrocoracidae,Birds
Psittacula cyanocephala,Plum-Headed Parakeet,Psittacidae,Birds
Chalcophaps indica,Emerald Dove,Columbidae,Birds
Lonchura striata,White-Rumped Munia,Estrildidae,Birds
Vanellus malarbaricus,Yellow-Wattled Lapwing,Charadriidae,Birds
Sypheotides indicus,Lesser Florican,Otididae,Birds
Alcippe vinipectus,White-Browed Fulvetta,Timaliidae,Birds
Zosterops palpebrosus,Oriental White-Eye,Zosteropidae,Birds
Charadrius dubius,Little Ringed Plover,Charadriidae,Birds
Gallicrex cinerea,Watercock,Rallidae,Birds
Muscicapa ruficauda,Rusty-Tailed Flycatcher,Muscicapidae,Birds
Treron phoenicopterus,Yellow Footed Green Pigeon,Columbidae,Birds
Oriolus xanthornus,Black-Hooded Oriole,Oriolidae,Birds
Aceros undulatus,Wreathed Hornbill,Bucerotidae,Birds
Pica pica,Black-Billed Magpie,Corvidae,Birds
Gyps bengalensis,Indian White-Backed Vulture,Accipitridae,Birds
Streptopelia tranquebarica,Red-Collared Dove,Columbidae,Birds
Aquila clanga,Greater Spotted Eagle,Accipitridae,Birds
Amaurornis bicolor,Black-Tailed Crake,Rallidae,Birds
Sterna caspia,Caspian Tern,Laridae,Birds
Ciconia nigra,Black Stork,Ciconiidae,Birds
Lophura leucomelanos,Kalij Pheasant,Phasianidae,Birds
Pericrocotus cinnamomeus,Small Minivet,Campephagidae,Birds
Ictinaetus malayensis,Indian Black Eagle,Accipitridae,Birds
Terpsiphone paradisi,Asian Paradise-Flycatcher,Monarchidae,Birds
Oriolus tenuirostris,Slender-Billed Oriole,Oriolidae,Birds
Pelecanus crispus,Dalmatian Pelican,Pelecanidae,Birds
Anthus roseatus,Rosy Pipit,Motacillidae,Birds
Chrysomma sinense,Yellow-Eyed Babbler,Timaliidae,Birds
Psittacula alexandri,Red-Breasted Parakeet,Psittacidae,Birds
Gallirallus striatus,Blue-Breasted Banded Rail,Rallidae,Birds
Mirafra cantillans,Singing Bushlark,Alaudidae,Birds
Podiceps cristatus,Great Crested Grebe,Podicipedidae,Birds
Calandrella brachydactyla,Short-Toed Lark,Alaudidae,Birds
Celeus brachyurus,Rufous Woodpecker,Picidae,Birds
Aethopyga saturata,Black-Throated Sunbird,Nectariniidae,Birds
Leucosticte brandti,Brandt's Rosy-Finch,Fringillidae,Birds
Muscicapa sibirica,Siberian Flycatcher,Muscicapidae,Birds
Sylvia curruca,Lesser Whitethroat,Sylviidae,Birds
Apus nipalensis,House Swift,Apodidae,Birds
Brachypteryx leucophrys,Lesser Shortwing,Turdidae,Birds
Timalia pileata,Chestnut-Capped Babbler,Timaliidae,Birds
Perdicula manipurensis,Manipur Bush-Quail,Phasianidae,Birds
Larus brunnicephalus,Brown-Headed Gull,Laridae,Birds
Phylloscopus pulcher,Buff-Barred Warbler,Sylviidae,Birds
Falco subbuteo,Eurasian Hobby,Falconidae,Birds
Harpactes erythrocephalus,Red-Headed Trogon,Trogonidae,Birds
Tephrodornis gularis,Brown-Tailed Woodshrike,Campephagidae,Birds
Enicurus maculatus,Spotted Forktail,Muscicapidae,Birds
Dicrurus macrocercus,Black Drongo,Dicruridae,Birds
Picus canus,Grey-Faced Woodpecker,Picidae,Birds
Lerwa lerwa,Snow Partridge,Phasianidae,Birds
Pyrrhocorax graculus,Yellow-Billed Chough,Corvidae,Birds
Tyto alba,Barn Owl,Tytonidae,Birds
Prunella strophiata,Rufous-Breasted Accentor,Prunellidae,Birds
Paradoxornis fulvifrons,Fulvous-Fronted Parrotbill,Timaliidae,Birds
Niltava sundara,Rufous-Bellied Niltava,Muscicapidae,Birds
Gallus gallus,Red Junglefowl,Phasianidae,Birds
Prinia rufescens,Rufescent Prinia,Cisticolidae,Birds
Otus spilocephalus,Mountain Scops-Owl,Strigidae,Birds
Cochoa purpurea,Purple Cochoa,Turdidae,Birds
Hypsipetes leucocephalus,Asian Black Bulbul,Pycnonotidae,Birds
Bucephala clangula,Common Goldeneye,Anatidae,Birds
Turdus unicolor,Tickell's Thrush,Turdidae,Birds
Urocissa erythrorhyncha,Red-Billed Blue Magpie,Corvidae,Birds
Yuhina gularis,Stripe-Throated Yuhina,Timaliidae,Birds
Phylloscopus reguloides,Blyth's Leaf-Warbler,Sylviidae,Birds
Accipiter nisus,Eurasian Sparrowhawk,Accipitridae,Birds
Nisaetus cirrhatus,Changeable Hawk Eagle,Accipitridae,Birds
Minla strigula,Chestnut-Tailed Minla,Timaliidae,Birds
Tesia castaneocoronata,Chestnut-Headed Tesia,Sylviidae,Birds
Hirundapus caudacutus,White-Throated Needletail,Apodidae,Birds
Collocalia brevirostris,Himalayan Swiftlet,Apodidae,Birds
Batrachostomus hodgsoni,Hodgson's Frogmouth,Podargidae,Birds
Buteo hemilasius,Upland Buzzard,Accipitridae,Birds
Paradoxornis atrosuperciliaris,Lesser Red-Headed Parrotbill,Timaliidae,Birds
Parus ater,Coal Tit,Paridae,Birds
